Eva's Catering,Truck,1900 19TH AVE,APPROVED,Cold Truck Burrito Corn Dog Salads Sandwiches Quesadilla Tacos Fried Rice Cow Mein Chinese Rice Noodle Plates Soup Bacon Eggs Ham Avacado Sausages Beverages
Eva's Catering,Truck,1199 ORTEGA ST,APPROVED,Cold Truck Burrito Corn Dog Salads Sandwiches Quesadilla Tacos Fried Rice Cow Mein Chinese Rice Noodle Plates Soup Bacon Eggs Ham Avacado Sausages Beverages
San Francisco's Hometown Creamery,Truck,281 GEARY ST,APPROVED,Ice Cream Waffle Cones
Halal Cart LLC,Push_Cart,455 MARKET ST,APPROVED,Gyros Kebabs soft drinks water
Truly Food & More,Truck,505 HOWARD ST,APPROVED,Latin Food Tacos Pupusas Vegetables Salad Waters Sodas
El Gallo Jiro,Truck,3055 23RD ST,EXPIRED,Burritos Giros Tortas Quesadillas Tacos Various Beverages
Singh Brothers Ice Cream,Truck,1191 QUESADA AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
El Tonayense #60,Truck,2355 FOLSOM ST,REQUESTED,Tacos Burritos Tortas Quesadillas Drinks
Philz Coffee Truck,Truck,556 SUTTER ST,APPROVED,Hot coffee iced coffee hot chocolate tea pastries
Philz Coffee Truck,Truck,735 MONTGOMERY ST,APPROVED,Hot coffee iced coffee hot chocolate tea pastries
F & C Catering,Truck,1275 MINNESOTA ST,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
Buenafe,Truck,750 PHELPS ST,APPROVED,Tacos Burritos Quesadillas Tortas
Golden Gate Halal Food,Push_Cart,1169 MARKET ST,SUSPEND,Pulao Plates Sandwiches Various Drinks
F & C Catering,Truck,2800 03RD ST,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
Street Meet,Truck,30 GROVE ST,SUSPEND,Burritos Tacos Quesadillas Tortas Carne Asada Fries various drinks
Street Meet,Truck,100 LARKIN ST,SUSPEND,Burritos Tacos Quesadillas Tortas Carne Asada Fries various drinks
Wu Wei LLC dba MoBowl,Truck,900 FRONT ST,EXPIRED,Various types of meat veggie seafood bowls
Wu Wei LLC dba MoBowl,Truck,500 HOWARD ST,EXPIRED,Various types of meat veggie seafood bowls
Flavors of Africa,Truck,560 MISSION ST,SUSPEND,Meat vegi rice bowls meat vegi salad bowls meat vegi wraps drinks juices
Wu Wei LLC dba MoBowl,Truck,253 DRUMM ST,EXPIRED,Various types of meat veggie seafood bowls
F & C Catering,Truck,2890 03RD ST,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
Treats by the Bay LLC,Push_Cart,1 MARKET ST,EXPIRED,Ice Cream Donuts
Leo's Hot Dogs,Push_Cart,2301 MISSION ST,EXPIRED,Hot dogs related toppings non alcoholic beverages
F & C Catering,Truck,900 MINNESOTA ST,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
F & C Catering,Truck,700 25TH ST,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
Lerso,Truck,1450 MISSION ST,SUSPEND,Pernil Asado Ropa Vieja Arroz con Pollo Cuban Sandwich Croquetas Fritas Tostones Platanos Maduros Yuca Frita
F & C Catering,Truck,898 PENNSYLVANIA AVE,EXPIRED,Cold Truck Hot Cold Sandwiches Water Soda Juice Snacks Milk Candies Canned Food Soups Cup of Noodles Fruit Salad
Wu Wei LLC dba MoBowl,Truck,370 DRUMM ST,EXPIRED,Various types of meat veggie seafood bowls
Singh Brothers Ice Cream,Truck,1562 BANCROFT AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Golden Gate Halal Food,Push_Cart,979 MARKET ST,SUSPEND,Pulao Plates Sandwiches Various Drinks
Singh Brothers Ice Cream,Truck,1420 YOSEMITE AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
SOHOMEI LLC,Truck,500 MASONIC AVE,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SOHOMEI LLC,Truck,3300 CESAR CHAVEZ ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Serendipity SF,Truck,400 CALIFORNIA ST,ISSUED,Meatloaf Grilled Cheese Chicken Sandwich Caprese Salad Kale Salad Fries Sweet Potato Fries Mac Cheese Mashed Potatoes
CC Acquisition LLC,Push_Cart,525 MARKET ST,REQUESTED,Chai Tea
Singh Brothers Ice Cream,Truck,297 HARBOR RD,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
SOHOMEI LLC,Truck,1118 MISSION ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SOHOMEI LLC,Truck,432 CLAY ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SPUNBYSS,Truck,240 02ND ST,REQUESTED,American classic slider fried chicken slider fried chicken skin wedge cut fries regular cut fries handcrafted sodas spring salad
Singh Brothers Ice Cream,Truck,360 PENINSULA AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Singh Brothers Ice Cream,Truck,195 KISKA RD,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Tacos El Primo,Truck,1700 EVANS AVE,REQUESTED,Mexican food tacos burritos tortas various meat chicken fish plate chile relleno plate fish plate bread flan rice pudding bread fruit juice vegetable juice coffee tea
SOHOMEI LLC,Truck,1 THOMAS MORE WAY,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Singh Brothers Ice Cream,Truck,2900 GRIFFITH ST,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
SOHOMEI LLC,Truck,1540 PINE ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Munch India,Truck,400 CALIFORNIA ST,REQUESTED,Daily rotating menus consisting of various local organic vegetable poultry meat seafood rice bread dishes
Singh Brothers Ice Cream,Truck,1000 HOLLISTER AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Singh Brothers Ice Cream,Truck,1173 INGERSON AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Tacos El Primo,Truck,1495 WALLACE AVE,REQUESTED,Mexican food tacos burritos tortas various meat chicken fish plate chile relleno plate fish plate bread flan rice pudding bread fruit juice vegetable juice coffee tea
The Huge Hotdog Concession,Truck,1300 POLK ST,EXPIRED,Hotdogs chips soda nuts crackers
Santana ESG Inc.,Truck,1 SANSOME ST,EXPIRED,Tacos Burritos Tortas Quesadillas Mexican Drinks Aguas Frescas
Singh Brothers Ice Cream,Truck,1475 DONNER AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Marengo,Truck,75 WATERLOO ST,REQUESTED,Breakfast  egg cheese bacon tomato english muffin w butter jam or nutella hard boiled eggs fruit medley water coffee milk carrot juice orange juice
Singh Brothers Ice Cream,Truck,35 NIBBI CT,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Eli's Hot Dogs,Push_Cart,101 BAY SHORE BLVD,REQUESTED,various styles of hot dogs sausages chips breakfast sandwiches chili soda water
Singh Brothers Ice Cream,Truck,1101 PALOU AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
SOHOMEI LLC,Truck,740 VALENCIA ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SF Cart Project,Truck,535 MISSION BAY BLVD SOUTH,EXPIRED,7 Multiple Trucks on rotation 1 on Mission Bay Blvd South 6 on 4th St  Serving everything but hot dogs
Santana ESG Inc.,Truck,2598 HARRISON ST,EXPIRED,Tacos Burritos Tortas Quesadillas Mexican Drinks Aguas Frescas
SOHOMEI LLC,Truck,599 MASONIC AVE,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SOHOMEI LLC,Truck,1580 DAVIDSON AVE,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Singh Brothers Ice Cream,Truck,1550 WALLACE AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
CC Acquisition LLC,Push_Cart,298 MARKET ST,REQUESTED,Indian Chai Tea
Ruru Juice LLC,Truck,601 MISSION ST,REQUESTED,Smoothies Juice Salads Fruit Bowls Soup
Wonder Philly,Push_Cart,960 04TH ST,ISSUED,Hot dogs sausages cheesesteaks chips drinks
Singh Brothers Ice Cream,Truck,1104 FITZGERALD AVE,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Julie's Hot Dogs,Truck,2365 MISSION ST,EXPIRED,Hot dogs Bacon wrapped hot dogs soda water sports drinks energy drinks chips
SOHOMEI LLC,Truck,690 MISSION ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Kabob Trolley LLC,Push_Cart,298 KING ST,REQUESTED,Gyros Kebobs refreshments dessert
Kabob Trolley LLC,Truck,1133 MISSION ST,REQUESTED,Halal Gyro Cheesesteaks
Tacos El Primo,Truck,345 WILLIAMS AVE,REQUESTED,Mexican food tacos burritos tortas various meat chicken fish plate chile relleno plate fish plate bread flan rice pudding bread fruit juice vegetable juice coffee tea
Singh Brothers Ice Cream,Truck,1309 INGALLS ST,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
CC Acquisition LLC,Push_Cart,560 VALENCIA ST,REQUESTED,Chai Tea
Santana ESG Inc.,Truck,200 SHOTWELL ST,EXPIRED,Tacos Burritos Tortas Quesadillas Mexican Drinks Aguas Frescas
SOHOMEI LLC,Truck,544 02ND ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
Ruru Juice LLC,Truck,80 SUTTER ST,REQUESTED,Smoothies Juice Salads Fruit Bowls Soup
Singh Brothers Ice Cream,Truck,3444 JENNINGS ST,REQUESTED,Ice Cream Pre Packaged Chips Candies Bottled Water Canned SODA
Tacos Lol Tun,Truck,1610 ARMSTRONG AVE,EXPIRED,Tortas burritos tacos ensaladas sodas
El Tonayense #60,Truck,401 TREAT AVE,REQUESTED,Tacos Burritos Tortas Quesadillas Drinks
SOHOMEI LLC,Truck,1570 BURKE AVE,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
SOHOMEI LLC,Truck,730 ELLIS ST,REQUESTED,COLD TRUCK Deli bbq chicken skewer Chinese spring roll Chinese fried rice noodle fried chicken leg wing bbq chicken sandwich chicken cheese burger burrito lumpia Snack sunflower seeds muffins chips snickers kit kat 10 types of chocolate Drinks Coke 7 Up Dr Pepper Pepsi Redbull Vitamin Water Rockstar Coconut Juice Water Hot drinks coffee tea
